name,sex,nationality
Aarav,Male,Indian
Aaryan,Male,Indian
Abha,Female,Indian
Abhay,Male,Indian
Abhilash,Male,Indian
Abhilasha,Female,Indian
Abhinav,Male,Indian
Adarsh,Male,Indian
Adit,Male,Indian
Adita,Female,Indian
Aditi,Female,Indian
Aditya,Male,Indian
Adri,Male,Indian
Agni,Female,Indian
Agrata,Female,Indian
Aishwarya,Female,Indian
Aja,Neutral,Indian
Ajay,Male,Indian
Ajeya,Female,Indian
Ajit,Male,Indian
Akanksha,Female,Indian
Akash,Male,Indian
Akhil,Male,Indian
Akshay,Male,Indian
Alagan,Male,Indian
Alka,Female,Indian
Alpana,Female,Indian
Amara,Female,Indian
Amare,Neutral,Indian
Ameya,Neutral,Indian
Amish,Male,Indian
Amita,Female,Indian
Amithi,Female,Indian
Amma,Female,Indian
Amrit,Male,Indian
Amrita,Female,Indian
Anamika,Female,Indian
Anand,Male,Indian
Ananda,Neutral,Indian
Anandi,Female,Indian
Anando,Male,Indian
Anantha,Neutral,Indian
Ananya,Female,Indian
Anaya,Female,Indian
Anik,Male,Indian
Anila,Female,Indian
Anima,Female,Indian
Anisha,Female,Indian
Anjali,Female,Indian
Anshu,Male,Indian
Anuj,Male,Indian
Anuja,Female,Indian
Anusha,Female,Indian
Apu,Male,Indian
Aradhya,Female,Indian
Arav,Male,Indian
Aravinda,Female,Indian
Archana,Female,Indian
Arjun,Male,Indian
Arlet,Female,Indian
Arnav,Male,Indian
Arun,Male,Indian
Arundhati,Female,Indian
Arushi,Female,Indian
Aryan,Neutral,Indian
Asha,Female,Indian
Ashok,Male,Indian
Ashwin,Male,Indian
Ashwini,Female,Indian
Avani,Female,Indian
Avatari,Female,Indian
Avish,Male,Indian
Ayaan,Male,Indian
Bagheera,Neutral,Indian
Bahula,Female,Indian
Baka,Female,Indian
Ballari,Female,Indian
Bansi,Male,Indian
Basanti,Female,Indian
Bel,Neutral,Indian
Bhavna,Female,Indian
Bhavya,Male,Indian
Bhumija,Female,Indian
Bimala,Female,Indian
Bindi,Female,Indian
Bodhi,Neutral,Indian
Bodhika,Female,Indian
Brinda,Female,Indian
Cala,Female,Indian
Chahna,Female,Indian
Chakra,Female,Indian
Chaman,Male,Indian
Chameli,Female,Indian
Chanda,Female,Indian
Chandra,Neutral,Indian
Charan,Male,Indian
Chatura,Male,Indian
Chetan,Male,Indian
Chitrinee,Female,Indian
Chitt,Male,Indian
Darshan,Male,Indian
Daru,Female,Indian
Daruka,Neutral,Indian
Deepak,Male,Indian
Deepika,Neutral,Indian
Deepnita,Female,Indian
Denali,Female,Indian
Deva,Neutral,Indian
Devaki,Female,Indian
Devanand,Male,Indian
Devansh,Male,Indian
Deven,Neutral,Indian
Devesh,Male,Indian
Devi,Female,Indian
Devica,Female,Indian
Devika,Female,Indian
Dharinija,Female,Indian
Dharma,Neutral,Indian
Dhaval,Male,Indian
Dhavala,Female,Indian
Dhiren,Male,Indian
Dhruv,Male,Indian
Dhruvesh,Male,Indian
Dhyana,Female,Indian
Dinesh,Male,Indian
Dipaka,Male,Indian
Divakar,Male,Indian
Divya,Female,Indian
Divyesh,Male,Indian
Dulal,Male,Indian
Dularee,Female,Indian
Ehan,Male,Indian
Ekanta,Female,Indian
Ekavali,Female,Indian
Ekram,Male,Indian
Elaxi,Female,Indian
Eshana,Female,Indian
Falan,Neutral,Indian
Fateh,Male,Indian
Forum,Male,Indian
Gagan,Male,Indian
Gambhiri,Female,Indian
Gandhi,Male,Indian
Ganesa,Neutral,Indian
Garima,Female,Indian
Garuda,Male,Indian
Gatik,Male,Indian
Gaura,Female,Indian
Gaurav,Male,Indian
Gauri,Female,Indian
Gautam,Male,Indian
Gayatri,Female,Indian
Geet,Male,Indian
Girija,Female,Indian
Gita,Female,Indian
Gopi,Neutral,Indian
Gopinath,Male,Indian
Govind,Male,Indian
Guri,Female,Indian
Gurnam,Male,Indian
Gyan,Male,Indian
Haimi,Female,Indian
Hajari,Male,Indian
Hansa,Female,Indian
Harena,Female,Indian
Harini,Female,Indian
Harita,Female,Indian
Harsha,Female,Indian
Hasika,Female,Indian
Hastin,Male,Indian
Hetal,Female,Indian
Hilol,Male,Indian
Himani,Female,Indian
Hina,Female,Indian
Hiraani,Female,Indian
Hiral,Male,Indian
Hiyan,Male,Indian
Iha,Female,Indian
Indira,Female,Indian
Indivar,Male,Indian
Indra,Male,Indian
Iresh,Male,Indian
Isha,Female,Indian
Ishan,Male,Indian
Ishana,Female,Indian
Jag,Male,Indian
Jagannath,Male,Indian
Jagannatha,Male,Indian
Jagat,Male,Indian
Jai,Male,Indian
Jaidev,Male,Indian
Jain,Neutral,Indian
Jamuna,Female,Indian
Janaki,Female,Indian
Janardan,Male,Indian
Jasleen,Neutral,Indian
Jatin,Male,Indian
Javana,Male,Indian
Javed,Male,Indian
Jaya,Female,Indian
Jayashri,Female,Indian
Jayin,Male,Indian
Jeevan,Male,Indian
Jinendra,Neutral,Indian
Jiva,Neutral,Indian
Jui,Female,Indian
Jute,Neutral,Indian
Jyothi,Male,Indian
Jyoti,Female,Indian
Jyotika,Female,Indian
Kaavia,Female,Indian
Kailas,Neutral,Indian
Kala,Female,Indian
Kali,Female,Indian
Kalida,Neutral,Indian
Kalinda,Female,Indian
Kalkin,Male,Indian
Kalyan,Neutral,Indian
Kalyani,Female,Indian
Kamala,Female,Indian
Kamana,Female,Indian
Kami,Neutral,Indian
Kanha,Male,Indian
Kanika,Female,Indian
Kanta,Female,Indian
Kapila,Female,Indian
Karan,Male,Indian
Karishma,Female,Indian
Karma,Female,Indian
Kartik,Male,Indian
Karuka,Female,Indian
Kash,Male,Indian
Kashiti,Female,Indian
Kasi,Female,Indian
Kaur,Female,Indian
Kaushal,Male,Indian
Kaveri,Female,Indian
Kavi,Neutral,Indian
Kavindra,Female,Indian
Kavita,Neutral,Indian
Kayaliya,Female,Indian
Kerani,Female,Indian
Ketaki,Female,Indian
Ketan,Male,Indian
Khan,Male,Indian
Kimaya,Female,Indian
Kiran,Neutral,Indian
Kirit,Neutral,Indian
Kirtana,Female,Indian
Kirti,Female,Indian
Kishan,Male,Indian
Kistna,Male,Indian
Komala,Female,Indian
Komali,Female,Indian
Krish,Male,Indian
Krishna,Neutral,Indian
Kumar,Male,Indian
Kusuma,Female,Indian
Kuval,Male,Indian
Laasya,Female,Indian
Lajita,Female,Indian
Lakia,Female,Indian
Laksha,Female,Indian
Lakshmana,Male,Indian
Lakshmi,Female,Indian
Lalan,Male,Indian
Lalana,Female,Indian
Lalita,Female,Indian
Lata,Female,Indian
Latika,Female,Indian
Lavali,Female,Indian
Lavanya,Female,Indian
Laxmi,Female,Indian
Leela,Female,Indian
Lochana,Female,Indian
Lokesh,Male,Indian
Madan,Neutral,Indian
Mahari,Neutral,Indian
Mahendra,Male,Indian
Mahendran,Neutral,Indian
Mahesa,Female,Indian
Mahima,Female,Indian
Maina,Female,Indian
Makara,Female,Indian
Mala,Female,Indian
Malini,Female,Indian
Mallika,Female,Indian
Manas,Male,Indian
Manasa,Female,Indian
Mandar,Male,Indian
Mandara,Female,Indian
Mandira,Female,Indian
Manjit,Male,Indian
Manju,Female,Indian
Manoja,Male,Indian
Mathura,Female,Indian
Mayank,Male,Indian
Meena,Female,Indian
Meghana,Female,Indian
Mena,Female,Indian
Minaal,Female,Indian
Minali,Female,Indian
Minda,Female,Indian
Mita,Female,Indian
Mitali,Neutral,Indian
Mohan,Male,Indian
Mojil,Male,Indian
Monisha,Female,Indian
Monita,Female,Indian
Mrinal,Female,Indian
Mythri,Female,Indian
Nakshita,Female,Indian
Nalin,Male,Indian
Nalini,Female,Indian
Nana,Male,Indian
Nanda,Female,Indian
Naras,Female,Indian
Naresh,Male,Indian
Natesa,Female,Indian
Naveen,Neutral,Indian
Navi,Female,Indian
Navya,Female,Indian
Naya,Female,Indian
Nayan,Neutral,Indian
Nayana,Female,Indian
Nayati,Male,Indian
Neha,Female,Indian
Nikhil,Male,Indian
Nila,Female,Indian
Nilima,Female,Indian
Nimai,Neutral,Indian
Ninarika,Female,Indian
Nirav,Male,Indian
Nirvana,Neutral,Indian
Nisha,Female,Indian
Nishan,Male,Indian
Nishi,Female,Indian
Nitara,Female,Indian
Nitesh,Male,Indian
Nitish,Male,Indian
Nitya,Female,Indian
Nivritti,Female,Indian
Niyati,Female,Indian
Nuren,Male,Indian
Occhave,Male,Indian
Ojal,Female,Indian
Ojas,Male,Indian
Omana,Female,Indian
Omanand,Male,Indian
Oorjita,Female,Indian
Oormi,Female,Indian
Opal,Female,Indian
Padma,Female,Indian
Pallavi,Female,Indian
Panchali,Female,Indian
Param,Male,Indian
Paras,Neutral,Indian
Parees,Male,Indian
Paresh,Male,Indian
Parvani,Female,Indian
Parvati,Female,Indian
Patel,Neutral,Indian
Pavan,Neutral,Indian
Pavani,Female,Indian
Piroj,Male,Indian
Pooja,Female,Indian
Pradeep,Male,Indian
Pramoda,Male,Indian
Pranav,Male,Indian
Pranet,Male,Indian
Pravar,Male,Indian
Pravin,Male,Indian
Prem,Male,Indian
Prema,Female,Indian
Premala,Female,Indian
Prita,Female,Indian
Pritam,Male,Indian
Priti,Female,Indian
Priya,Female,Indian
Priyanka,Female,Indian
Rachana,Female,Indian
Rachna,Female,Indian
Radha,Female,Indian
Radhika,Female,Indian
Raghu,Male,Indian
Ragni,Female,Indian
Rahul,Male,Indian
Raja,Female,Indian
Rajan,Male,Indian
Rajesh,Male,Indian
Rajni,Female,Indian
Rajnish,Male,Indian
Ram,Male,Indian
Raman,Male,Indian
Ramya,Female,Indian
Ranee,Female,Indian
Ranjana,Female,Indian
Ranjeet,Male,Indian
Ranjit,Male,Indian
Ranvir,Male,Indian
Ratin,Male,Indian
Ravi,Male,Indian
Ravindra,Male,Indian
Rekha,Female,Indian
Reva,Female,Indian
Reyansh,Male,Indian
Rhynisha,Female,Indian
Ridhi,Female,Indian
Rishi,Male,Indian
Rishika,Female,Indian
Riya,Female,Indian
Rohan,Male,Indian
Rohit,Male,Indian
Ronit,Male,Indian
Rubaina,Female,Indian
Ruchira,Female,Indian
Rukmini,Female,Indian
Rupali,Female,Indian
Rupin,Male,Indian
Rushil,Male,Indian
Sachet,Neutral,Indian
Sachin,Male,Indian
Samiya,Female,Indian
Sanjay,Male,Indian
Sanjaya,Male,Indian
Sanjeet,Neutral,Indian
Sanjita,Female,Indian
Sanjiv,Male,Indian
Sanvi,Female,Indian
Sarayi,Female,Indian
Sarika,Female,Indian
Sarita,Female,Indian
Sarla,Female,Indian
Sarni,Female,Indian
Saroja,Female,Indian
Sarva,Neutral,Indian
Sashi,Female,Indian
Satisha,Male,Indian
Satya,Neutral,Indian
Savara,Female,Indian
Savarna,Female,Indian
Savir,Male,Indian
Savita,Female,Indian
Savitri,Female,Indian
Sevita,Female,Indian
Shaan,Male,Indian
Shakti,Female,Indian
Shalin,Female,Indian
Shaman,Male,Indian
Shanta,Female,Indian
Shanti,Female,Indian
Sharvani,Female,Indian
Shasta,Neutral,Indian
Shaurya,Male,Indian
Sheela,Female,Indian
Shila,Female,Indian
Shivani,Female,Indian
Shobha,Female,Indian
Shreya,Female,Indian
Shyam,Male,Indian
Shyla,Female,Indian
Siddhartha,Male,Indian
Sidharth,Male,Indian
Simbala,Female,Indian
Simra,Female,Indian
Singh,Neutral,Indian
Sitara,Female,Indian
Sneha,Female,Indian
Sohalia,Female,Indian
Sohan,Male,Indian
Somatra,Female,Indian
Sona,Female,Indian
Souvik,Male,Indian
Sthir,Male,Indian
Subrahmanyan,Male,Indian
Suchi,Female,Indian
Sujay,Male,Indian
Sumana,Female,Indian
Sumitra,Female,Indian
Sundari,Female,Indian
Sunesh,Male,Indian
Sunil,Male,Indian
Sunila,Female,Indian
Suruchi,Female,Indian
Suvan,Male,Indian
Svara,Female,Indian
Syona,Female,Indian
Syreeta,Female,Indian
Taia,Female,Indian
Tamal,Female,Indian
Tamanna,Neutral,Indian
Tanav,Male,Indian
Tanay,Male,Indian
Tanaya,Female,Indian
Tanika,Female,Indian
Tanuja,Female,Indian
Tarachand,Neutral,Indian
Tarak,Male,Indian
Tarala,Female,Indian
Tarangini,Female,Indian
Tarannum,Female,Indian
Tarika,Female,Indian
Taru,Male,Indian
Tarun,Male,Indian
Teja,Female,Indian
Tejas,Male,Indian
Tilak,Male,Indian
Timila,Female,Indian
Toral,Female,Indian
Trishna,Female,Indian
Triveni,Female,Indian
Trusha,Female,Indian
Tvisha,Female,Indian
Ugra,Male,Indian
Uma,Female,Indian
Umed,Male,Indian
Umika,Female,Indian
Ummi,Female,Indian
Ura,Female,Indian
Urja,Female,Indian
Urmi,Female,Indian
Urvi,Female,Indian
Usra,Female,Indian
Utcha,Male,Indian
Uttam,Male,Indian
Uttara,Female,Indian
Vadin,Male,Indian
Vaeda,Neutral,Indian
Vaidehi,Female,Indian
Vajra,Male,Indian
Valin,Male,Indian
Vaman,Male,Indian
Vandana,Female,Indian
Vanhi,Neutral,Indian
Vanida,Female,Indian
Varali,Female,Indian
Varana,Female,Indian
Varen,Male,Indian
Varsha,Female,Indian
Varun,Male,Indian
Varuna,Male,Indian
Vasant,Neutral,Indian
Vasanta,Female,Indian
Vasanti,Female,Indian
Vasudha,Female,Indian
Vasundhara,Female,Indian
Vatsa,Male,Indian
Vayu,Male,Indian
Veda,Neutral,Indian
Venu,Male,Indian
Venya,Female,Indian
Vihaan,Male,Indian
Vijay,Male,Indian
Vikram,Male,Indian
Vilina,Female,Indian
Vinanti,Female,Indian
Vinata,Female,Indian
Vinay,Male,Indian
Vinaya,Female,Indian
Vineet,Male,Indian
Vinita,Female,Indian
Viral,Male,Indian
Virendra,Neutral,Indian
Virika,Female,Indian
Visala,Female,Indian
Vivek,Male,Indian
Viveka,Female,Indian
Vyomini,Female,Indian
Yamal,Male,Indian
Yamir,Male,Indian
Yash,Male,Indian
Yatin,Male,Indian
Yauvani,Female,Indian
Yogi,Neutral,Indian
Yuvraj,Male,Indian
Zveha,Neutral,Indian
Afya,Female,Russian
Akilina,Female,Russian
Alexei,Male,Russian
Alexey,Male,Russian
Alexis,Neutral,Russian
Alla,Female,Russian
Anatoliy,Male,Russian
Andrei,Male,Russian
Andrey,Male,Russian
Anfisa,Female,Russian
Anja,Female,Russian
Antonina,Female,Russian
Anya,Female,Russian
Arkadiy,Male,Russian
Artyom,Male,Russian
Czar,Male,Russian
Czarina,Female,Russian
Daniil,Male,Russian
Danik,Male,Russian
Danila,Male,Russian
Darina,Female,Russian
Darya,Female,Russian
Dasha,Female,Russian
Dessa,Female,Russian
Dima,Male,Russian
Dmitriy,Male,Russian
Dzon,Male,Russian
Efim,Male,Russian
Egor,Male,Russian
Ekaterina,Female,Russian
Elizaveta,Female,Russian
Evegny,Male,Russian
Evgeniy,Male,Russian
Evgeniya,Female,Russian
Fedora,Female,Russian
Feodor,Male,Russian
Feodora,Female,Russian
Feofan,Male,Russian
Fyodor,Male,Russian
Galina,Female,Russian
Gasha,Female,Russian
Gavrilla,Female,Russian
Gennadiy,Male,Russian
Georgiy,Male,Russian
Gerasim,Male,Russian
Glafira,Female,Russian
Gleb,Male,Russian
Grigoriy,Male,Russian
Igor,Male,Russian
Ilya,Male,Russian
Inna,Female,Russian
Innokentiy,Male,Russian
Ion,Male,Russian
Irina,Female,Russian
Ivan,Male,Russian
Ivana,Female,Russian
Ivanka,Female,Russian
Katya,Female,Russian
Keesa,Neutral,Russian
Kesha,Female,Russian
Kirill,Male,Russian
Klavdiya,Female,Russian
Konstantin,Male,Russian
Ksenia,Female,Russian
Lara,Female,Russian
Leonid,Male,Russian
Lida,Female,Russian
Liev,Male,Russian
Liliya,Female,Russian
Liubov,Female,Russian
Lyusya,Female,Russian
Marfa,Female,Russian
Matvey,Male,Russian
Maxim,Male,Russian
Melor,Male,Russian
Melora,Female,Russian
Micha,Neutral,Russian
Mikhail,Male,Russian
Milek,Male,Russian
Milena,Female,Russian
Mischa,Neutral,Russian
Misha,Neutral,Russian
Nadezhda,Female,Russian
Nastia,Female,Russian
Nasya,Female,Russian
Natasha,Female,Russian
Nesha,Female,Russian
Nikolai,Male,Russian
Oktyabrina,Female,Russian
Olesia,Female,Russian
Orya,Female,Russian
Pascha,Neutral,Russian
Pasha,Neutral,Russian
Pavel,Male,Russian
Platon,Male,Russian
Polina,Female,Russian
Prokhor,Male,Russian
Pyotr,Male,Russian
Rasia,Female,Russian
Rimma,Female,Russian
Ruslan,Male,Russian
Ruslana,Female,Russian
Sasha,Neutral,Russian
Satanaya,Female,Russian
Sava,Male,Russian
Savva,Male,Russian
Scriabin,Neutral,Russian
Sergei,Male,Russian
Sezja,Female,Russian
Sonya,Female,Russian
Stasia,Female,Russian
Taisiya,Female,Russian
Tamara,Female,Russian
Tania,Female,Russian
Tanya,Female,Russian
Tatiana,Female,Russian
Tchaikovsky,Male,Russian
Tikhon,Male,Russian
Timofey,Male,Russian
Ulyana,Female,Russian
